GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC03_EST_VC56,HC03_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC03_EST_VC57,HC03_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59
1400000US48201533701,48201533701,"Census Tract 5337.01, Harris County, Texas",6054,550,1856,492,30.7,7.9,863,351,,,,,2593,577,,,,,2993,594,,,,,4098,558,,,,,4098,558,,,,,5259,547,,,,,5940,553,,,,,5971,548,,,,
1400000US48201533702,48201533702,"Census Tract 5337.02, Harris County, Texas",3551,288,504,197,14.2,5.3,90,67,,,,,1084,317,,,,,1309,348,,,,,1579,377,,,,,1701,377,,,,,2457,394,,,,,3077,340,,,,,3298,342,,,,
1400000US48201533801,48201533801,"Census Tract 5338.01, Harris County, Texas",9678,861,2054,731,21.2,7,612,375,,,,,3041,814,,,,,3540,831,,,,,4770,889,,,,,4971,903,,,,,6870,807,,,,,8193,927,,,,,8864,972,,,,
1400000US48201533802,48201533802,"Census Tract 5338.02, Harris County, Texas",6812,497,1957,535,28.7,7.2,764,382,,,,,2272,559,,,,,2615,536,,,,,3478,652,,,,,3654,648,,,,,4843,648,,,,,5593,653,,,,,6167,522,,,,
1400000US48201533901,48201533901,"Census Tract 5339.01, Harris County, Texas",9634,637,2276,822,23.6,8.5,467,441,,,,,2989,1031,,,,,3572,1069,,,,,4579,902,,,,,4813,914,,,,,7224,844,,,,,7589,849,,,,,8589,816,,,,
1400000US48201533902,48201533902,"Census Tract 5339.02, Harris County, Texas",4886,536,1900,538,38.9,10,914,358,,,,,2395,540,,,,,2944,604,,,,,3820,583,,,,,4132,563,,,,,4409,539,,,,,4772,527,,,,,4819,545,,,,
1400000US48201534001,48201534001,"Census Tract 5340.01, Harris County, Texas",2895,245,1155,269,39.9,8.5,544,217,,,,,1302,276,,,,,1525,290,,,,,1782,305,,,,,2031,310,,,,,2389,287,,,,,2676,262,,,,,2779,246,,,,
1400000US48201534002,48201534002,"Census Tract 5340.02, Harris County, Texas",5935,509,729,358,12.3,6,108,123,,,,,1797,618,,,,,2377,697,,,,,3077,714,,,,,3304,726,,,,,4814,582,,,,,5497,567,,,,,5758,536,,,,
1400000US48201534003,48201534003,"Census Tract 5340.03, Harris County, Texas",2763,205,473,236,17.1,8.4,71,76,,,,,598,265,,,,,905,292,,,,,989,289,,,,,1092,301,,,,,1646,316,,,,,2132,297,,,,,2253,302,,,,
1400000US48201534100,48201534100,"Census Tract 5341, Harris County, Texas",8326,790,2236,887,26.9,9.2,574,449,,,,,2547,891,,,,,3094,892,,,,,3666,870,,,,,4156,818,,,,,5648,1002,,,,,6699,940,,,,,7393,899,,,,
1400000US48201534201,48201534201,"Census Tract 5342.01, Harris County, Texas",2423,284,329,211,13.6,8,62,47,,,,,469,251,,,,,514,253,,,,,792,303,,,,,830,307,,,,,1604,309,,,,,1925,323,,,,,2172,319,,,,
1400000US48201534202,48201534202,"Census Tract 5342.02, Harris County, Texas",8805,726,461,383,5.2,4.3,113,88,,,,,720,459,,,,,1304,727,,,,,1338,725,,,,,1423,736,,,,,3261,754,,,,,4946,847,,,,,5920,867,,,,
1400000US48201534203,48201534203,"Census Tract 5342.03, Harris County, Texas",1739,232,253,130,14.5,7.5,34,46,,,,,508,192,,,,,675,195,,,,,915,233,,,,,955,237,,,,,1134,233,,,,,1418,292,,,,,1522,278,,,,
1400000US48201540100,48201540100,"Census Tract 5401, Harris County, Texas",12012,720,511,309,4.3,2.5,196,183,,,,,728,411,,,,,859,471,,,,,1400,602,,,,,1540,608,,,,,2621,894,,,,,3899,1075,,,,,5063,1042,,,,
1400000US48201540200,48201540200,"Census Tract 5402, Harris County, Texas",3158,363,381,235,12.1,7.1,229,200,,,,,509,295,,,,,845,387,,,,,1363,409,,,,,1418,424,,,,,2145,417,,,,,2530,437,,,,,2668,436,,,,
1400000US48201540501,48201540501,"Census Tract 5405.01, Harris County, Texas",6199,746,1391,773,22.4,11,192,183,,,,,1665,771,,,,,2112,795,,,,,2391,808,,,,,2707,857,,,,,4478,822,,,,,5268,870,,,,,5596,798,,,,
